Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,year
1,18-Apr-08,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,222.0,3.0,82.0,10.0,Kolkata Knight Riders,Runs,140.0,Brendon McCullum,2008
2,19-Apr-08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Group,240.0,5.0,207.0,4.0,Chennai Super Kings,Runs,33.0,Michael Hussey,2008
3,19-Apr-08,"Feroz Shah Kotla, Delhi",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Group,129.0,8.0,132.0,1.0,Delhi Daredevils,Wickets,9.0,Farveez Maharoof,2008
4,20-Apr-08,"Eden Gardens, Kolkata",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Bat,Group,110.0,10.0,112.0,5.0,Kolkata Knight Riders,Wickets,5.0,David Hussey,2008
5,20-Apr-08,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Group,165.0,6.0,166.0,5.0,Royal Challengers Bangalore,Wickets,5.0,Mark Boucher,2008
6,21-Apr-08,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Group,166.0,8.0,168.0,4.0,Rajasthan Royals,Wickets,6.0,Shane Watson,2008
7,22-Apr-08,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,142.0,8.0,143.0,1.0,Delhi Daredevils,Wickets,9.0,Virender Sehwag,2008
8,23-Apr-08,"M. A Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,208.0,5.0,202.0,7.0,Chennai Super Kings,Runs,6.0,Matthew Hayden,2008
9,24-Apr-08,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Field,Group,214.0,5.0,217.0,7.0,Rajasthan Royals,Wickets,3.0,Yusuf Pathan,2008
10,25-Apr-08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,182.0,10.0,116.0,9.0,Kings XI Punjab,Runs,66.0,Kumar Sangakkara,2008
11,26-Apr-08,"M. A Chidambaram Stadium, Chennai",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Group,147.0,9.0,152.0,1.0,Chennai Super Kings,Wickets,9.0,Jacob Oram,2008
12,26-Apr-08,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Group,135.0,8.0,138.0,3.0,Rajasthan Royals,Wickets,7.0,Shane Watson,2008
13,27-Apr-08,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Group,158.0,8.0,162.0,6.0,Kings XI Punjab,Wickets,4.0,Simon Katich,2008
14,27-Apr-08,"DY Patil Stadium, Navi Mumbai",Mumbai Indians,Deccan Chargers,Deccan Chargers,Field,Group,154.0,7.0,155.0,0.0,Deccan Chargers,Wickets,10.0,Adam Gilchrist,2008
15,28-Apr-08,"M. Chinnaswamy Stadium, Bangalore",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Group,178.0,5.0,165.0,10.0,Chennai Super Kings,Runs,13.0,Mahendra Singh Dhoni,2008
16,29-Apr-08,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Group,137.0,8.0,138.0,3.0,Mumbai Indians,Wickets,7.0,Sanath Jayasuriya,2008
17,30-Apr-08,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,191.0,5.0,181.0,5.0,Delhi Daredevils,Runs,10.0,Glenn McGrath,2008
18,01-May-08,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,196.0,7.0,151.0,10.0,Rajasthan Royals,Runs,45.0,Swapnil Asnodkar,2008
19,01-May-08,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Field,Group,164.0,8.0,167.0,3.0,Kings XI Punjab,Wickets,7.0,Shaun Marsh,2008
20,02-May-08,"M. A Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Group,169.0,6.0,172.0,2.0,Delhi Daredevils,Wickets,8.0,Virender Sehwag,2008
21,03-May-08,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Field,Group,156.0,8.0,153.0,6.0,Royal Challengers Bangalore,Runs,3.0,Praveen Kumar,2008
